public_group_id,public_family_id,source_dataset,outer_fold,event_type,windows
grp_7cf0c941ae0f9f8b0a2d,fam_7cf0c941ae0f9f8b0a2d,FieldCollection,1,fall,161
grp_574af0f85f031630408d,fam_574af0f85f031630408d,FieldCollection,1,fall,515
grp_f9160777d11da051a7c8,fam_f9160777d11da051a7c8,FieldCollection,3,fall,148
grp_6352eba9d4b7711787d6,fam_6352eba9d4b7711787d6,FieldCollection,2,fall,472
grp_b7d07ec0d11f40707158,fam_b7d07ec0d11f40707158,GMDCSA24,2,fall,136
grp_148aece0ea8592eb9bda,fam_148aece0ea8592eb9bda,GMDCSA24,4,fall,91
grp_3e78e71fb74875fcbcf9,fam_3e78e71fb74875fcbcf9,GMDCSA24,4,fall,101
grp_d8976dfb34660271f9ba,fam_d8976dfb34660271f9ba,GMDCSA24,0,fall,101
grp_a8225f3b64e72a02a096,fam_a8225f3b64e72a02a096,GMDCSA24,3,fall,96
grp_4db7ef443b9ee5468753,fam_4db7ef443b9ee5468753,GMDCSA24,0,fall,126
grp_9dcff839dcff5a1ff915,fam_9dcff839dcff5a1ff915,GMDCSA24,4,fall,71
grp_f8fcab7ef0dc37ccd5b4,fam_f8fcab7ef0dc37ccd5b4,GMDCSA24,3,fall,71
grp_ca4661009a7ca6a89a04,fam_ca4661009a7ca6a89a04,GMDCSA24,0,fall,63
grp_4f7e4b6c9f6d7ed788b5,fam_4f7e4b6c9f6d7ed788b5,GMDCSA24,3,fall,66
grp_dcf79c80872034a38067,fam_dcf79c80872034a38067,GMDCSA24,4,fall,84
grp_83cea1db3b143138b150,fam_83cea1db3b143138b150,GMDCSA24,3,fall,99
grp_df3eec0a581a7ce36d6f,fam_df3eec0a581a7ce36d6f,GMDCSA24,2,fall,52
grp_7def7cefb8b21b580dfb,fam_7def7cefb8b21b580dfb,GMDCSA24,1,fall,56
grp_27abe0c6ecf015511c95,fam_27abe0c6ecf015511c95,GMDCSA24,2,fall,94
grp_3ca826c106d997a2a7bd,fam_3ca826c106d997a2a7bd,GMDCSA24,4,fall,126
grp_1091d0ccf4332402cf27,fam_1091d0ccf4332402cf27,GMDCSA24,2,fall,98
grp_3a38b99d538b83c61452,fam_3a38b99d538b83c61452,GMDCSA24,0,fall,132
grp_f0705ca9d9131c1addcc,fam_f0705ca9d9131c1addcc,GMDCSA24,2,fall,39
grp_7fd7d2c4f96dd24cff89,fam_7fd7d2c4f96dd24cff89,GMDCSA24,2,fall,178
grp_3b7b0f07049e05fc75bd,fam_3b7b0f07049e05fc75bd,GMDCSA24,1,fall,82
grp_7e451a4b5830aed84244,fam_7e451a4b5830aed84244,GMDCSA24,3,fall,128
grp_f490e3a13890f2e0bd58,fam_f490e3a13890f2e0bd58,GMDCSA24,0,fall,98
grp_11cfb24537454e134217,fam_11cfb24537454e134217,GMDCSA24,4,fall,113
grp_b925f949d8ad9355be5d,fam_b925f949d8ad9355be5d,GMDCSA24,1,fall,118
grp_ad661eff3c81be02f81a,fam_ad661eff3c81be02f81a,GMDCSA24,3,fall,57
grp_3cad2969f9bc637fd248,fam_3cad2969f9bc637fd248,GMDCSA24,2,fall,102
grp_e85fe0451aeabd10ee14,fam_e85fe0451aeabd10ee14,GMDCSA24,4,fall,135
grp_fadbebf9746de6683fe5,fam_fadbebf9746de6683fe5,GMDCSA24,2,fall,76
grp_a21b3e6e82b5b801e949,fam_a21b3e6e82b5b801e949,GMDCSA24,1,fall,65
grp_55fb70a2e590fdc633a8,fam_55fb70a2e590fdc633a8,GMDCSA24,4,fall,274
grp_31ceb35d27e95b350e18,fam_31ceb35d27e95b350e18,GMDCSA24,1,fall,70
grp_bb67b1a7f9512ef7afc0,fam_bb67b1a7f9512ef7afc0,GMDCSA24,2,fall,115
grp_73e82bad5c7ac8c55d92,fam_73e82bad5c7ac8c55d92,GMDCSA24,3,fall,338
grp_2f54688519c37a18d5a1,fam_2f54688519c37a18d5a1,GMDCSA24,1,fall,293
grp_079e32a76791e605eb78,fam_079e32a76791e605eb78,GMDCSA24,2,fall,282
grp_38339df7322493b236e2,fam_38339df7322493b236e2,GMDCSA24,3,fall,221
grp_cf6f19422b9ca569aa8b,fam_cf6f19422b9ca569aa8b,GMDCSA24,1,fall,76
grp_c5fa6b681bd61b2bbc72,fam_c5fa6b681bd61b2bbc72,GMDCSA24,3,fall,139
grp_4f55c5fb95fa1a9995c5,fam_4f55c5fb95fa1a9995c5,GMDCSA24,1,fall,139
grp_89dc89609e653f9e9d33,fam_89dc89609e653f9e9d33,GMDCSA24,2,fall,126
grp_09adeb281934eb0335a6,fam_09adeb281934eb0335a6,GMDCSA24,0,fall,50
grp_a1acfde5c75ca4ae3666,fam_a1acfde5c75ca4ae3666,GMDCSA24,3,fall,119
grp_0e766ce8abc12fa2306a,fam_0e766ce8abc12fa2306a,GMDCSA24,2,fall,86
grp_b549f9e4a8d070a02655,fam_b549f9e4a8d070a02655,GMDCSA24,3,fall,82
grp_28212153e23051009610,fam_28212153e23051009610,GMDCSA24,1,fall,140
grp_1b007567931be4c8695a,fam_1b007567931be4c8695a,GMDCSA24,2,fall,32
grp_1a9fdfa5ca71f4d160b6,fam_1a9fdfa5ca71f4d160b6,GMDCSA24,2,fall,68
grp_ce89741f99142c8afc62,fam_ce89741f99142c8afc62,GMDCSA24,3,fall,37
grp_d06bd8c7850cc169e169,fam_d06bd8c7850cc169e169,GMDCSA24,1,fall,126
grp_6bcd0ac4d611db609b68,fam_6bcd0ac4d611db609b68,GMDCSA24,3,fall,77
grp_97e946413cbe771eb0f0,fam_97e946413cbe771eb0f0,GMDCSA24,4,fall,200
grp_0bf775ba30988cb7c66f,fam_0bf775ba30988cb7c66f,GMDCSA24,4,fall,98
grp_a760378fd7251069ed5f,fam_a760378fd7251069ed5f,GMDCSA24,0,fall,69
grp_788a27c1ad0b49fe9ae9,fam_788a27c1ad0b49fe9ae9,GMDCSA24,0,fall,283
grp_75b5ac8f57da4c4298d1,fam_75b5ac8f57da4c4298d1,GMDCSA24,3,fall,46
grp_8ee1610f7854ebc3be91,fam_8ee1610f7854ebc3be91,GMDCSA24,4,fall,43
grp_777da441cff9a5d4eee0,fam_777da441cff9a5d4eee0,GMDCSA24,0,fall,33
grp_a448f5b166da122c7a90,fam_a448f5b166da122c7a90,GMDCSA24,0,fall,85
grp_ef40f87fe5e60bd18733,fam_ef40f87fe5e60bd18733,GMDCSA24,4,fall,48
grp_2e50034a1254ce4e97b1,fam_2e50034a1254ce4e97b1,GMDCSA24,2,fall,60
grp_1e694125cc4e8e91e451,fam_1e694125cc4e8e91e451,GMDCSA24,0,fall,200
grp_1b757370bc59545107ca,fam_1b757370bc59545107ca,GMDCSA24,2,fall,82
grp_ddf0e03e93018cdfdaca,fam_ddf0e03e93018cdfdaca,GMDCSA24,0,fall,74
grp_adffa9212624afb5eaa3,fam_adffa9212624afb5eaa3,GMDCSA24,0,fall,81
grp_ecbbd714a6a9a8d41106,fam_ecbbd714a6a9a8d41106,GMDCSA24,0,fall,37
grp_6006bd46e20a319f065a,fam_6006bd46e20a319f065a,GMDCSA24,0,fall,103
grp_31f2995a5443134082c2,fam_31f2995a5443134082c2,GMDCSA24,4,fall,67
grp_935dccfc142e0d4729ee,fam_935dccfc142e0d4729ee,GMDCSA24,1,fall,103
grp_57a407b137af021847dd,fam_57a407b137af021847dd,GMDCSA24,0,fall,92
grp_76816693fbbbd07e5cd7,fam_76816693fbbbd07e5cd7,GMDCSA24,1,fall,90
grp_8e7d89c768a88ecaab58,fam_8e7d89c768a88ecaab58,GMDCSA24,1,fall,98
grp_482b72155d3c5b598fa4,fam_482b72155d3c5b598fa4,GMDCSA24,4,fall,63
grp_d18a1645d526d8ec72ba,fam_d18a1645d526d8ec72ba,GMDCSA24,4,fall,81
grp_6e4a59c63dea486c00b9,fam_6e4a59c63dea486c00b9,GMDCSA24,1,fall,30
grp_0c7d5decde52c1a2ec54,fam_0c7d5decde52c1a2ec54,GMDCSA24,1,fall,45
grp_fa9139354e29a57d32d9,fam_fa9139354e29a57d32d9,GMDCSA24,3,fall,90
grp_2b22bec476e6aad42998,fam_2b22bec476e6aad42998,GMDCSA24,1,fall,95
grp_e2f2cff81d495dd8b01a,fam_e2f2cff81d495dd8b01a,GMDCSA24,3,fall,103
grp_7ea75754bb8666b7b381,fam_7ea75754bb8666b7b381,MultiFallEvents,4,fall,116
grp_2a928595c5b02e501403,fam_2a928595c5b02e501403,MultiFallEvents,1,fall,110
grp_a9dc94a3403365cad124,fam_a9dc94a3403365cad124,MultiFallEvents,0,fall,99
grp_5ffbb7ca6ca53a51b40b,fam_5ffbb7ca6ca53a51b40b,MultiFallEvents,2,fall,97
grp_11f101d206080ea2fbcf,fam_11f101d206080ea2fbcf,MultiFallEvents,3,fall,40
grp_e40c3282b0842d768b58,fam_e40c3282b0842d768b58,MultiFallEvents,3,fall,241
grp_a1a2dea93bb99ca5c9e0,fam_6d9b3459bc894bb43511,MulticamTrain,3,fall,86
grp_129aaaf5899a360217f0,fam_b91b6cfd1e33f3ce004e,MulticamTrain,2,fall,425
grp_f6e420800097a5739b0f,fam_0f0d98d88e9776ca63d9,MulticamTrain,3,fall,224
grp_68b50e8f1464137e3f47,fam_1daaba397b08c55f59da,MulticamTrain,4,fall,202
grp_830d05ac0014bdf2434a,fam_a50ac33e386da4361b59,MulticamTrain,1,fall,266
grp_9162da3ab5aa82630838,fam_29d500f0921b77ff9e4e,MulticamTrain,4,fall,295
grp_88c088ce8086941e5491,fam_c26fa83f57b2e190aa72,MulticamTrain,2,fall,191
grp_7581e315df48dff2ce68,fam_36e4fcab8999fa7fcddb,MulticamTrain,1,fall,383
grp_191649d1a98c7a1557d3,fam_afc3f1646cc24db35aec,MulticamTrain,2,fall,234
grp_25425d28f30cd824faf5,fam_96f6bc3fff65077ddc1a,MulticamTrain,0,fall,180
grp_cb4845622bbb44f534e8,fam_a6262a32f6d77eba50d1,MulticamTrain,1,fall,180
grp_bd8f156ce4ecd3382e80,fam_bb8ef989def977052742,MulticamTrain,0,fall,286
grp_da6be850a6d8387e54f0,fam_015180beb59cec0d4322,MulticamTrain,3,fall,358
grp_ec1eaa8b8572c635360e,fam_4237a96c8fb1232ad205,MulticamTrain,0,fall,384
grp_b99d40db6c73ed2b82ca,fam_8ddc4547800e3384f619,MulticamTrain,4,fall,465
grp_4ac243744fe9dcfe2ea1,fam_4ac243744fe9dcfe2ea1,TSTModified,1,fall,469
grp_1864dafec99ccac964a5,fam_1864dafec99ccac964a5,TSTModified,4,fall,677
grp_01058c7c0d57fed7f0b0,fam_01058c7c0d57fed7f0b0,TSTModified,3,fall,466
grp_8d8ca17e9b244f6295de,fam_8d8ca17e9b244f6295de,TSTModified,0,fall,469
grp_a3527005fde69ab882c9,fam_a3527005fde69ab882c9,TSTModified,3,fall,506
grp_236161059b67d02ee314,fam_236161059b67d02ee314,TSTModified,2,fall,468
grp_e3172909f7c49af033f6,fam_e3172909f7c49af033f6,TSTModified,2,fall,554
grp_a7f527101dfc469765cd,fam_a7f527101dfc469765cd,TSTModified,4,fall,445
grp_b248426fc544cdfd5380,fam_b248426fc544cdfd5380,TSTModified,0,fall,509
grp_895a3e7dcaccf3830ea3,fam_895a3e7dcaccf3830ea3,TSTModified,1,fall,559
grp_a94b92f1c72d784cc15c,fam_a94b92f1c72d784cc15c,TSTModified,4,fall,479
grp_ea0d3366231af31be818,fam_ea0d3366231af31be818,URFD,1,fall,154
grp_2a7a6469ecdc74f097e0,fam_2a7a6469ecdc74f097e0,URFD,4,fall,115
grp_4210c2fd473e9ad0a67e,fam_4210c2fd473e9ad0a67e,URFD,0,fall,279
grp_e6676877cc2713e2f5a4,fam_e6676877cc2713e2f5a4,URFD,1,fall,107
grp_d7e936fc7cd4bc937cff,fam_d7e936fc7cd4bc937cff,URFD,4,fall,151
grp_d8c0770dfeec4dc1839c,fam_d8c0770dfeec4dc1839c,URFD,3,fall,90
grp_19f36def14806e2f26fc,fam_19f36def14806e2f26fc,URFD,2,fall,246
grp_a83a4ab4c47ec7a4701c,fam_a83a4ab4c47ec7a4701c,URFD,0,fall,120
grp_4e92e955385fbce039c1,fam_4e92e955385fbce039c1,URFD,3,fall,297
grp_a64d0e9aafb333d9a965,fam_a64d0e9aafb333d9a965,URFD,1,fall,137
grp_db4ea3dc9b2cf2208bd9,fam_db4ea3dc9b2cf2208bd9,URFD,3,fall,145
grp_7ab5585843154793f50a,fam_7ab5585843154793f50a,URFD,2,fall,136
grp_b364104ef50874a2bb9f,fam_b364104ef50874a2bb9f,URFD,3,fall,110
grp_04c943be173ef8ecb406,fam_04c943be173ef8ecb406,URFD,4,fall,92
grp_1748638678a828569ed2,fam_1748638678a828569ed2,URFD,0,fall,94
grp_9ec9a2e4912e17a6ef88,fam_9ec9a2e4912e17a6ef88,URFD,0,fall,86
grp_66536faf0044e840f9a7,fam_66536faf0044e840f9a7,URFD,0,fall,126
grp_efeef38a0d39bd05e835,fam_efeef38a0d39bd05e835,URFD,4,fall,84
grp_ae7c2f737cc83dd97b02,fam_ae7c2f737cc83dd97b02,URFD,2,fall,102
grp_df121867af59e175f2f7,fam_df121867af59e175f2f7,URFD,3,fall,122
grp_6d26449b4469f42e2c40,fam_6d26449b4469f42e2c40,URFD,1,fall,86
grp_f78d8460d98e501aefe6,fam_f78d8460d98e501aefe6,URFD,2,fall,84
grp_6bb8d61b73391e021848,fam_6bb8d61b73391e021848,URFD,4,fall,100
grp_ab908c382bb213154079,fam_ab908c382bb213154079,URFD,2,fall,93
grp_8a927e085b78e576f63c,fam_8a927e085b78e576f63c,URFD,2,fall,117
grp_6f7f415f0118cc64af2b,fam_6f7f415f0118cc64af2b,URFD,1,fall,95
grp_864d599a2ac0407340da,fam_864d599a2ac0407340da,URFD,1,fall,121
grp_5c7eb98539018f333a3b,fam_5c7eb98539018f333a3b,URFD,0,fall,103
grp_97e043cdc598f9172594,fam_97e043cdc598f9172594,URFD,4,fall,123
grp_3d2d078fbbbbf8e04624,fam_3d2d078fbbbbf8e04624,URFD,3,fall,95
grp_d25336457fee93fed3bc,fam_d25336457fee93fed3bc,CAUCAFall,4,normal,265
grp_be80a2f9456e6532b9cf,fam_be80a2f9456e6532b9cf,CAUCAFall,0,normal,387
grp_1f46745a6cad0dc43b88,fam_1f46745a6cad0dc43b88,CAUCAFall,2,normal,256
grp_270793fcc7be77aa3b11,fam_270793fcc7be77aa3b11,CAUCAFall,1,normal,325
grp_703d54677b4f460129eb,fam_703d54677b4f460129eb,CAUCAFall,3,normal,336
grp_6e476bbfa30fc2fd22f2,fam_6e476bbfa30fc2fd22f2,CAUCAFall,4,normal,388
grp_cc907490679165ca61f6,fam_cc907490679165ca61f6,CAUCAFall,3,normal,303
grp_a3a45aac856d94402e9d,fam_a3a45aac856d94402e9d,CAUCAFall,0,normal,287
grp_c06a3f18204bc49417b9,fam_c06a3f18204bc49417b9,CAUCAFall,1,normal,325
grp_0285ff641bbd66c2795b,fam_0285ff641bbd66c2795b,CAUCAFall,2,normal,405
grp_5b0c49d6e24df807e26f,fam_5b0c49d6e24df807e26f,GMDCSA24,3,normal,91
grp_4c59d7a3c984ff84f576,fam_4c59d7a3c984ff84f576,GMDCSA24,2,normal,68
grp_0f974f1a4ef44cf11985,fam_0f974f1a4ef44cf11985,GMDCSA24,3,normal,68
grp_c4b3f548ff2eaf5db201,fam_c4b3f548ff2eaf5db201,GMDCSA24,1,normal,54
grp_43840a6681f0147a2c05,fam_43840a6681f0147a2c05,GMDCSA24,0,normal,123
grp_a1ca5e79adeb015e53e5,fam_a1ca5e79adeb015e53e5,GMDCSA24,1,normal,151
grp_234cd3520b13c0417494,fam_234cd3520b13c0417494,GMDCSA24,3,normal,81
grp_629d85447b7211015359,fam_629d85447b7211015359,GMDCSA24,3,normal,62
grp_b1df2aeabdb74df78d69,fam_b1df2aeabdb74df78d69,GMDCSA24,4,normal,42
grp_f30c25d044e0850aeadf,fam_f30c25d044e0850aeadf,GMDCSA24,4,normal,26
grp_73f38daea6b1135aa6ce,fam_73f38daea6b1135aa6ce,GMDCSA24,4,normal,107
grp_2d3a5a55ee453200ad6f,fam_2d3a5a55ee453200ad6f,GMDCSA24,1,normal,78
grp_0bf1faf037649d5acc7c,fam_0bf1faf037649d5acc7c,GMDCSA24,0,normal,62
grp_bef12fd7c806d31fae0d,fam_bef12fd7c806d31fae0d,GMDCSA24,4,normal,55
grp_d74a37163e2f3764ed7f,fam_d74a37163e2f3764ed7f,GMDCSA24,4,normal,75
grp_08bee6160e3750b67320,fam_08bee6160e3750b67320,GMDCSA24,2,normal,21
grp_d359a014c8b152479ac6,fam_d359a014c8b152479ac6,GMDCSA24,1,normal,139
grp_3d0a8b13cd73040b47ff,fam_3d0a8b13cd73040b47ff,GMDCSA24,4,normal,145
grp_2cacda185329aaebfecd,fam_2cacda185329aaebfecd,GMDCSA24,0,normal,147
grp_eeb3daadd606095cd5cb,fam_eeb3daadd606095cd5cb,GMDCSA24,2,normal,86
grp_0e7429170c25448b4eda,fam_0e7429170c25448b4eda,GMDCSA24,3,normal,130
grp_41fe6dc1ad363e8869aa,fam_41fe6dc1ad363e8869aa,GMDCSA24,2,normal,129
grp_6da4028e7af537804970,fam_6da4028e7af537804970,GMDCSA24,2,normal,163
grp_f4aa7a8efe6121ad414e,fam_f4aa7a8efe6121ad414e,GMDCSA24,1,normal,173
grp_ae1d52554c71b6cbd678,fam_ae1d52554c71b6cbd678,GMDCSA24,2,normal,132
grp_65945aebbf150ee231f7,fam_65945aebbf150ee231f7,GMDCSA24,0,normal,82
grp_ce6ce816c9ea80081b7d,fam_ce6ce816c9ea80081b7d,GMDCSA24,1,normal,118
grp_f8a8a2358932d9239e9a,fam_f8a8a2358932d9239e9a,GMDCSA24,1,normal,82
grp_d054c477022a308730af,fam_d054c477022a308730af,GMDCSA24,2,normal,41
grp_aea59ce853c00c3701cb,fam_aea59ce853c00c3701cb,GMDCSA24,0,normal,52
grp_cd5c1be72406f0b47993,fam_cd5c1be72406f0b47993,GMDCSA24,0,normal,58
grp_1d089ce1c0ada1418212,fam_1d089ce1c0ada1418212,GMDCSA24,0,normal,55
grp_3cbd5d11312ecd531beb,fam_3cbd5d11312ecd531beb,GMDCSA24,2,normal,56
grp_cb98d6d76cc7d5321689,fam_cb98d6d76cc7d5321689,GMDCSA24,3,normal,56
grp_59a558df603028836de1,fam_59a558df603028836de1,GMDCSA24,2,normal,54
grp_438ffd7afb912ddef4b5,fam_438ffd7afb912ddef4b5,GMDCSA24,4,normal,56
grp_46ec69ed623c8617f8c1,fam_46ec69ed623c8617f8c1,GMDCSA24,4,normal,48
grp_fd4d2f23a94f0f61977a,fam_fd4d2f23a94f0f61977a,GMDCSA24,2,normal,27
grp_db866afb628be162bb44,fam_db866afb628be162bb44,GMDCSA24,4,normal,23
grp_594201c88a224b8e357b,fam_594201c88a224b8e357b,GMDCSA24,4,normal,99
grp_5ca1ed8f4a33cf77cc4d,fam_5ca1ed8f4a33cf77cc4d,GMDCSA24,1,normal,105
grp_09d30dad8a02e7011df1,fam_09d30dad8a02e7011df1,GMDCSA24,3,normal,117
grp_035f66513c33669c882c,fam_035f66513c33669c882c,GMDCSA24,0,normal,119
grp_f2f128ddd52171f2ac4b,fam_f2f128ddd52171f2ac4b,GMDCSA24,3,normal,46
grp_4425be2f1fd25b7fccd0,fam_4425be2f1fd25b7fccd0,GMDCSA24,3,normal,102
grp_0764f438683919e02f49,fam_0764f438683919e02f49,GMDCSA24,1,normal,19
grp_b6a6449265aea29b13a0,fam_b6a6449265aea29b13a0,GMDCSA24,1,normal,28
grp_73e1a032bb501ba8b3ab,fam_73e1a032bb501ba8b3ab,GMDCSA24,4,normal,85
grp_4d321c1b76b0ba71b560,fam_4d321c1b76b0ba71b560,GMDCSA24,0,normal,154
grp_124ead67b0f66ddd5880,fam_124ead67b0f66ddd5880,GMDCSA24,3,normal,149
grp_5ff85ed57b691bbff6ab,fam_5ff85ed57b691bbff6ab,GMDCSA24,2,normal,49
grp_ada18650fb2f19ae3121,fam_ada18650fb2f19ae3121,GMDCSA24,3,normal,34
grp_edf0cce1837a60dbe5da,fam_edf0cce1837a60dbe5da,GMDCSA24,0,normal,35
grp_200d27d1567be3dfec08,fam_200d27d1567be3dfec08,GMDCSA24,3,normal,26
grp_6d68802b034668b26618,fam_6d68802b034668b26618,GMDCSA24,3,normal,122
grp_0b6a1cdcc9593c4303a0,fam_0b6a1cdcc9593c4303a0,GMDCSA24,1,normal,60
grp_df155ba95a7153c4149c,fam_df155ba95a7153c4149c,GMDCSA24,3,normal,52
grp_d8ce66b4dd5b418d2b5d,fam_d8ce66b4dd5b418d2b5d,GMDCSA24,0,normal,18
grp_7f447e11ca2cc290edb7,fam_7f447e11ca2cc290edb7,GMDCSA24,1,normal,39
grp_66c4c1677488e5f47d4e,fam_66c4c1677488e5f47d4e,GMDCSA24,2,normal,121
grp_abcc068b71de893a8919,fam_abcc068b71de893a8919,GMDCSA24,2,normal,110
grp_9a3faf83139b9fec8b50,fam_9a3faf83139b9fec8b50,GMDCSA24,3,normal,154
grp_24eb3e4aac59f6bd1226,fam_24eb3e4aac59f6bd1226,GMDCSA24,4,normal,126
grp_fe0ed4fe6ece25962292,fam_fe0ed4fe6ece25962292,GMDCSA24,1,normal,102
grp_6119fd008aa6e4355907,fam_6119fd008aa6e4355907,GMDCSA24,4,normal,163
grp_a1ab7f27e73089e6dd5d,fam_a1ab7f27e73089e6dd5d,GMDCSA24,0,normal,79
grp_f60cbf9e7b23a54fd44c,fam_f60cbf9e7b23a54fd44c,GMDCSA24,4,normal,67
grp_c2946da78e65b8c7cd97,fam_c2946da78e65b8c7cd97,GMDCSA24,4,normal,153
grp_250b9d38e2b9cc4b4aaa,fam_250b9d38e2b9cc4b4aaa,GMDCSA24,2,normal,150
grp_d0146654f313af68ec1f,fam_d0146654f313af68ec1f,GMDCSA24,4,normal,119
grp_6e1b34ef96efcad26e37,fam_6e1b34ef96efcad26e37,GMDCSA24,1,normal,129
grp_34c3e70b77eaee0eeaa4,fam_34c3e70b77eaee0eeaa4,GMDCSA24,2,normal,97
grp_5c7aadaa6dba75698ac7,fam_5c7aadaa6dba75698ac7,GMDCSA24,1,normal,51
grp_5c952c0176f1da87746f,fam_5c952c0176f1da87746f,GMDCSA24,0,normal,93
grp_819506ea58d15d256bb5,fam_819506ea58d15d256bb5,GMDCSA24,0,normal,32
grp_af47a3cb1e923c544893,fam_af47a3cb1e923c544893,GMDCSA24,2,normal,75
grp_2efefcadf737c2dcb9d9,fam_2efefcadf737c2dcb9d9,GMDCSA24,1,normal,62
grp_9901ee2dacecd63028e3,fam_9901ee2dacecd63028e3,GMDCSA24,0,normal,179
grp_22ef63109018ae766df4,fam_22ef63109018ae766df4,GMDCSA24,0,normal,117
grp_36534724572b4310c154,fam_36534724572b4310c154,GMDCSA24,3,normal,230
grp_aa5fcdb6d65dcc50cd5b,fam_aa5fcdb6d65dcc50cd5b,URFD,1,normal,24
grp_7fa33f99677903059ff5,fam_7fa33f99677903059ff5,URFD,2,normal,19
grp_3ef872ce84d551b2e79e,fam_3ef872ce84d551b2e79e,URFD,0,normal,31
grp_0181727c1f0c5511d82d,fam_0181727c1f0c5511d82d,MCFDHardNeg,4,normal,317
