public_group_id,source_family_id,source_dataset,outer_fold,event_type,windows
grp_2cacda185329aaebfecd,grp_2cacda185329aaebfecd,GMDCSA24,1,normal,147
grp_eeb3daadd606095cd5cb,grp_eeb3daadd606095cd5cb,GMDCSA24,3,normal,86
grp_0e7429170c25448b4eda,grp_0e7429170c25448b4eda,GMDCSA24,0,normal,130
grp_41fe6dc1ad363e8869aa,grp_41fe6dc1ad363e8869aa,GMDCSA24,4,normal,129
grp_6da4028e7af537804970,grp_6da4028e7af537804970,GMDCSA24,2,normal,163
grp_f4aa7a8efe6121ad414e,grp_f4aa7a8efe6121ad414e,GMDCSA24,0,normal,173
grp_ae1d52554c71b6cbd678,grp_ae1d52554c71b6cbd678,GMDCSA24,4,normal,132
grp_65945aebbf150ee231f7,grp_65945aebbf150ee231f7,GMDCSA24,2,normal,82
grp_ce6ce816c9ea80081b7d,grp_ce6ce816c9ea80081b7d,GMDCSA24,0,normal,118
grp_f8a8a2358932d9239e9a,grp_f8a8a2358932d9239e9a,GMDCSA24,4,normal,82
grp_d054c477022a308730af,grp_d054c477022a308730af,GMDCSA24,2,normal,41
grp_aea59ce853c00c3701cb,grp_aea59ce853c00c3701cb,GMDCSA24,4,normal,52
grp_cd5c1be72406f0b47993,grp_cd5c1be72406f0b47993,GMDCSA24,4,normal,58
grp_1d089ce1c0ada1418212,grp_1d089ce1c0ada1418212,GMDCSA24,4,normal,55
grp_3cbd5d11312ecd531beb,grp_3cbd5d11312ecd531beb,GMDCSA24,2,normal,56
grp_cb98d6d76cc7d5321689,grp_cb98d6d76cc7d5321689,GMDCSA24,0,normal,56
grp_59a558df603028836de1,grp_59a558df603028836de1,GMDCSA24,1,normal,54
grp_438ffd7afb912ddef4b5,grp_438ffd7afb912ddef4b5,GMDCSA24,1,normal,56
grp_46ec69ed623c8617f8c1,grp_46ec69ed623c8617f8c1,GMDCSA24,0,normal,48
grp_fd4d2f23a94f0f61977a,grp_fd4d2f23a94f0f61977a,GMDCSA24,4,normal,27
grp_db866afb628be162bb44,grp_db866afb628be162bb44,GMDCSA24,3,normal,23
grp_594201c88a224b8e357b,grp_594201c88a224b8e357b,GMDCSA24,4,normal,99
grp_5ca1ed8f4a33cf77cc4d,grp_5ca1ed8f4a33cf77cc4d,GMDCSA24,0,normal,105
grp_09d30dad8a02e7011df1,grp_09d30dad8a02e7011df1,GMDCSA24,4,normal,117
grp_035f66513c33669c882c,grp_035f66513c33669c882c,GMDCSA24,0,normal,119
grp_f2f128ddd52171f2ac4b,grp_f2f128ddd52171f2ac4b,GMDCSA24,1,normal,46
grp_4425be2f1fd25b7fccd0,grp_4425be2f1fd25b7fccd0,GMDCSA24,3,normal,102
grp_0764f438683919e02f49,grp_0764f438683919e02f49,GMDCSA24,4,normal,19
grp_b6a6449265aea29b13a0,grp_b6a6449265aea29b13a0,GMDCSA24,3,normal,28
grp_73e1a032bb501ba8b3ab,grp_73e1a032bb501ba8b3ab,GMDCSA24,3,normal,85
grp_4d321c1b76b0ba71b560,grp_4d321c1b76b0ba71b560,GMDCSA24,1,normal,154
grp_124ead67b0f66ddd5880,grp_124ead67b0f66ddd5880,GMDCSA24,1,normal,149
grp_5ff85ed57b691bbff6ab,grp_5ff85ed57b691bbff6ab,GMDCSA24,0,normal,49
grp_ada18650fb2f19ae3121,grp_ada18650fb2f19ae3121,GMDCSA24,1,normal,34
grp_edf0cce1837a60dbe5da,grp_edf0cce1837a60dbe5da,GMDCSA24,3,normal,35
grp_200d27d1567be3dfec08,grp_200d27d1567be3dfec08,GMDCSA24,2,normal,26
grp_6d68802b034668b26618,grp_6d68802b034668b26618,GMDCSA24,3,normal,122
grp_0b6a1cdcc9593c4303a0,grp_0b6a1cdcc9593c4303a0,GMDCSA24,1,normal,60
grp_df155ba95a7153c4149c,grp_df155ba95a7153c4149c,GMDCSA24,4,normal,52
grp_d8ce66b4dd5b418d2b5d,grp_d8ce66b4dd5b418d2b5d,GMDCSA24,3,normal,18
grp_7f447e11ca2cc290edb7,grp_7f447e11ca2cc290edb7,GMDCSA24,4,normal,39
grp_66c4c1677488e5f47d4e,grp_66c4c1677488e5f47d4e,GMDCSA24,1,normal,121
grp_abcc068b71de893a8919,grp_abcc068b71de893a8919,GMDCSA24,0,normal,110
grp_9a3faf83139b9fec8b50,grp_9a3faf83139b9fec8b50,GMDCSA24,1,normal,154
grp_24eb3e4aac59f6bd1226,grp_24eb3e4aac59f6bd1226,GMDCSA24,4,normal,126
grp_fe0ed4fe6ece25962292,grp_fe0ed4fe6ece25962292,GMDCSA24,3,normal,102
grp_6119fd008aa6e4355907,grp_6119fd008aa6e4355907,GMDCSA24,0,normal,163
grp_a1ab7f27e73089e6dd5d,grp_a1ab7f27e73089e6dd5d,GMDCSA24,2,normal,79
grp_f60cbf9e7b23a54fd44c,grp_f60cbf9e7b23a54fd44c,GMDCSA24,2,normal,67
grp_c2946da78e65b8c7cd97,grp_c2946da78e65b8c7cd97,GMDCSA24,2,normal,153
grp_250b9d38e2b9cc4b4aaa,grp_250b9d38e2b9cc4b4aaa,GMDCSA24,3,normal,150
grp_d0146654f313af68ec1f,grp_d0146654f313af68ec1f,GMDCSA24,3,normal,119
grp_6e1b34ef96efcad26e37,grp_6e1b34ef96efcad26e37,GMDCSA24,3,normal,129
grp_34c3e70b77eaee0eeaa4,grp_34c3e70b77eaee0eeaa4,GMDCSA24,4,normal,97
grp_5c7aadaa6dba75698ac7,grp_5c7aadaa6dba75698ac7,GMDCSA24,2,normal,51
grp_5c952c0176f1da87746f,grp_5c952c0176f1da87746f,GMDCSA24,0,normal,93
